name,sector,city,country,website,revenue,enrollment,salary
BUREAU ALPES CONTROLES,BTP,Annecy-Le-Vieux,France,alpes-controles.fr,30 M€,380,30 000€ - 33 000€
FAURECIA,Automobile,Nanterre,France,http://www.faurecia.com,,103000,
Devoteam,Audit & Conseil,Levallois,France,http://www.devoteam.fr/,485 Md€,4100,
ABYLSEN,Audit & Conseil,Lyon,France,www.abylsen.com/fr,75 M€,920,28 000€
DECATHLON,Agro-Alimentaire Grande Distribution,Villeneuve D'Ascq,France,http://corporate.decathlon.com/,"8,8 Md€",70000,35 000€ - 45 000€
Orange,"Informatique, Télécommunication, Électronique",Paris,France,Orange.jobs,40 Md€,,
DIMO SOFTWARE,"Informatique, Édition de logiciels, Services de l'information",Limonest ,France,www.dimosoftware.com,35 M€,370,
SNCF,Transport,La Plaine St Denis Cedex,France,http://www.sncf.com/fr/groupe/emploi/fiche-metier/ingenieurs-et-cadres,"31,4 M€",260000,30 000€ - 50 000€
SANOFI,Industrie,Lyon,France,sanofi.com,,110000,
AUSY,"Informatique, Édition de logiciels, Services de l'information",Sèvres,France,ausy.fr,"394,3 M€",4500,
Viveris,"Informatique, Édition de logiciels, Services de l'information",Boulogne-Billancourt,France,www.viveris.fr,,793,27 000€ - 38 000€
ECONOCOM & ALTER WAY,"Informatique, Édition de logiciels, Services de l'information",Villeurbanne,France,https://carrieres.econocom.com/nos-offres,"2,3 Md€",9500,30 000 € - 35 000 €
Assystem,Audit & Conseil,Montigny Le Bretonneux,France,www.assystem.com,900 M€,12000,
EDF,"Énergie, Environnement, Chimie",Paris,France,www.edf.fr,75 M€,160000,
LEM Switzerland SA,Industrie électronique,Plan-Les-Ouates,Suisse,www.lem.com,235 M€,1400,
GROUPE GCC,BTP,Villeurbanne,France,gcc-groupe.com,680 Md€,2300,32 500€
Amaris,"Informatique, Télécommunication, Électronique",Lyon,France,http://www.amaris.com/,140 M€,2600,
FM Logistic,Transport et Logistique,Roissy En France ,France, http://www.fmlogistic.com/,"1,034 Md€",21800,
Qim info,"Informatique, Édition de logiciels, Services de l'information",Carouge,Suisse,http://www.qiminfo.ch/, 25 MCHF,180,
ELCA Informatique SA,"Informatique, Édition de logiciels, Services de l'information",Lausanne,Suisse,https://www.elca.ch/,107 MCHF,750,
Schneider Electric,"Énergie, Environnement, Chimie",Rueil Malmaison,France,http://www.schneider-electric.fr/fr/about-us/careers.jsp?,27 M€,+160000,
L'Oréal,Industrie,Clichy,France,www.loreal.com/,"25,3 Md€",82900,
AKKA Technologies,Audit & Conseil,Boulogne-Billancourt,France,www.akka-technologies.com,1 Md€,12500,32 000 - 40 000
Comité international de la Croix Rouge,Organisation humanitaire internationale,Genève,Suisse,www.icrc.org/jobs,"1,8 Md€",15000,50 000€ - 70 000 €
DCNS,Industrie,Paris,France,http://fr.dcnsgroup.com/talents/,3 Md€,13000,
BEIJAFLORE,Audit & Conseil,Paris,France,http://www.beijaflore.com/,75 M€,850,
ALTEN,Ingénierie et Conseil en Technologies,Boulogne-Billancourt,France,www.altenrecrute.fr,"1,54 Md€",22900,
PROTECTIC ,"Informatique, Télécommunication, Électronique",Bievres,France,www.protectic.fr,6 M€,75,
Margoconseil,"Informatique, Édition de logiciels, Services de l'information",Paris,France,http://www.margoconseil.com/,21 M€,270,36 000€ - 42 000€
ANSSI,"Informatique, Télécommunication, Électronique",Paris,France,ssi.gouv.fr,,500,
Groupe SEB,Industrie,Ecully,France,careers@groupeseb.com,"4,77 Md€",26000,
HEXCEL,Industrie,Dagneux,France,www.hexcel.com,"1,8 Md$",6000,
GROUPE HN,"Informatique, Télécommunication, Électronique",Paris,France,http://www.groupehn.com/wordpress/fr/,55 M€,750,32 000€ - 33 000€
Médecins Sans Frontières,Humanitaire,Paris,France,msf.fr,,6000,
Bouygues Construction,BTP,Saint-Quentin-En-Yvelines,France,www.carrieres.bouygues-construction.com,12 Md€,50000,
SMAC,BTP,Venissieux,France,www.smac-sa.com,600 M€,3700,
MEDIANE SYSTEME,"Informatique, Télécommunication, Électronique",St Priest,France,www.medianesysteme.com,26 M€,300,30 000€ - 50 000€
GEMALTO,"Informatique, Édition de logiciels, Services de l'information",Meudon,France,www.gemalto.com,"3,1 Md€",14000,37 000€
Alter Solutions Engineering,Conseil en Ingénierie,Versailles,France,www.alter-solutions.com,20 M€,300,
Itron,Industrie,Issy Les Moulineaux,France,www.itron.com,2 Md€,8000,
Bouygues Construction,BTP,Saint-Quentin-En-Yvelines ,France,carrieres.bouygues-construction.com,12 Md€,50000,
Michelin,Industrie,Clermont-Ferrand,France,www.recrutement.michelin.fr,21 Md €,112300,
Business France : V.I.E & V.I.A,Administration,Paris,France,civiweb.com,,,
MCA Ingénierie,Industrie,Lyon,France,www.mca-ingenierie.fr,84 Md€,1100,29 000€ - 31 000€
Astek,"Informatique, Télécommunication, Électronique",,,http://blog.groupeastek.com,185 M€,2500,
EDF,"Énergie, Environnement, Chimie",Paris,France,www.edf.fr,75 Md€,160000,
Technord Industrie et Services,Intégrateur de solutions industrielles,Saint-Genis-Laval,France,www.technord.com,75 M €,360,
Mars France,Industrie,Saint Denis De L'Hotel,France,www.mars.com/france,,4500,
COLAS,BTP,Paris,France,http://www.hubcarrierecolas.fr/,12 Md€,57000,
GROUPE CASINO,Alimentaire ,Saint-Etienne,France,www.groupe-casino.fr,46 Md€,325000,
ALTRAN,Audit & Conseil,Velizy ,France,WWW.ALTRAN.COM,1945 M€,28000,
NGE,BTP,Tarascon,France,www.nge.fr,"1,5 Md€",9000,30000€ - 35000€
ATLANTIC INGENIERIE,"Énergie, Environnement, Chimie",St Herblain,France,www.atlantic-ingenierie.com,15 M€,180,35 000 €
APAVE SUDEUROPE,Bureau de contrôle,Tassin La Demi Lune,France,http://www.apave-recrutement.com/,843 M€,10860,30000€ - 35000€
Groupe SII,"Informatique, Édition de logiciels, Services de l'information",Paris,France,www.groupe-sii.com,"360,1M€",6000,30 000€
Expectra,Recrutement,Saint-Denis La Plaine,France,www.expectra.fr,,450,
COSUMAR,Industrie,Casablanca ,Maroc,www.cosumar.co.ma,"6,9 Mdhs",1550,
bioMérieux,Industrie,Marcy L'Etoile,France,http://www.biomerieux.com/fr,"1,965 Md€",10000,
REEL,Industrie,Saint-Cyr Au Mont D'Or,France,www.reel.fr,380 M€,2000,35 000 € 
Amiltone,"Informatique, Édition de logiciels, Services de l'information",Villeurbanne,France,www.amiltone.com ; mobilefactory.amiltone.com,8 M€,150,
LAURALBA,ESN,Aix-En-Provence,France,www.lauralba.net,,85,28 000€ - 45 000€
SOLYSTIC,Industrie,Bourg-Lès-Valence ,France,http://www.solystic.com/,120 M€,524,
Technology and Strategy,Audit & Conseil,Lyon,France,www.technologyandstrategy.com ,60 M€,750,30 000€ - 50 000€
DANONE,Industrie,Paris,France,DANONE.COM,"20,9 Md€",102401,
MICHELIN,Industrie,Clermont-Ferrand,France,http://recrutement.michelin.fr/fre,"21,2 Md€",111700,
Spie batignolles ,BTP,Neuilly Sur Seine Cedex,France,spiebatignolles.fr,"1,5 M€",6240,
DANONE,Industrie,Saint Ouen,France,www.danone.com,,,
BLB Constructions / Demathieu Bard,BTP,Genay ,France,,57 M€,100,35 000€
SANOFI,Industrie Pharmaceutique,Lyon,France,http://www.sanofi.fr/l/fr/fr/index.jsp,"33,821 Md€",110000,
Intrasec,"Informatique, Édition de logiciels, Services de l'information",Lyon,France,intrasec.fr,,,
Faurecia,Industrie,Nanterre,France,http://www.faurecia.com/,,103000,
Vulcain Ingénierie,Conseil & Ingénierie,Neuilly-Sur-Seine,France,http://www.vulcain-ingenierie.com/,82 M€,950,
GROUPE ADF,Industrie,Vitrolles,France,www.groupeadf.com,400 M€,3819,
KPMG,Audit & Conseil,Paris,France,www.kpmgrecrute.fr,961 M€,8500,
EKIUM,"Ingénierie Industrielle et Tertiaire, Automation",Bron,France,www.ekium.eu,70 M€,750,
