id_entreprise;name;sector;city;country;website;email;revenue;enrollment;average;salary;description;message
apave;APAVE;Divers ;Tassin la demi Lune;France;http://www.apave-recrutement.com;tassin.annonce@apave.com;837 M;10700;;;"La mission d’Apave : accompagner les entreprises et les collectivités dans
leur volonté de maîtriser les risques techniques, humains et environnementaux.
A travers cinq métiers et une offre complète de prestations de services, les
équipes Apave contribuent, chaque jour, à améliorer la sécurité des hommes
et des biens
Les métiers d’Apave :
• Inspection
• Bâtiment
• Formation
• Essais et Mesures
• Conseil";"Vous recherchez un métier alliant autonomie et expertise
technique ? Vous aimez le terrain ? Vous privilégiez les contacts
clients ? Rejoignez nous en répondant à nos offres d’emploi sur
www.apave.com"
aperam;APERAM;Industrie & Agroalimentaire;Luxembourg;Luxembourg;http://www.aperam.com;contact@aperam.com;4,3 Md;9500;;;"Aperam est un acteur mondial du secteur de l’acier inoxydable, de l’acier
électrique et des aciers spéciaux qui exerce des activités dans plus de 40
pays.
La Société est structurée en trois segments: Acier Inoxydable et Aciers
Electriques, Services et Solutions et Alliages et Aciers Spéciaux.
Aperam a une capacité de production de 2,5 millions de tonnes d’acier
inoxydable plat en Europe et au Brésil et est un leader dans des créneaux
à forte valeur ajoutée comme les alliages et les aciers spéciaux. Aperam
possède par ailleurs un réseau de distribution, de traitement et de services
hautem ent intégré ainsi que des capacités inégalées pour produire de l’acier
inoxydable et des aciers spéciaux à partir de biomasse à faible coût (charbon
de bois). Son réseau industriel est concentré dans six usines principales
situées au Brésil, en Belgique et en France.
En 2016, Aperam a réalisé un chiffre d’affaires de 4,3 milliards de dollars
US et des expéditions d’acier de 1,92 million de tonnes.";"Aperam est un groupe à taille humaine, 2521 employés en France,
jeune et dynamique orienté à l’international composé d’équipes
multiculturelles, 50 nationalités prêtes à vous accueillir et à vous
intégrer !
autant de raisons de nous rejoindre !"
arkema;ARKEMA;Matériaux;;;http://carrieres.arkema.com;careers@arkema.com;7,5 Md;19500;;;"Designer de matériaux et de solutions innovantes, Arkema modèle la matière
et accélère la performance de ses clients pour créer de nouveaux usages
dans l’allègement et le design des matériaux, les produits bio-sourcés, les
énergies nouvelles, la gestion de l’eau, les solutions pour l’électronique et la
performance et l’isolation de l’habitat.
Acteur majeur de la chimie de spécialités, avec 3 pôles d’activités, Matériaux
Haute Performance, Spécialités Industrielles, Coating Solutions, et des marques
mondialement reconnues, le Groupe réalise un chiffre d’affaires de 7,5
milliards d’euros. Porté par l’énergie collective de ses 19 500 collaborateurs,
Arkema est présent dans près de 50 pays.
Arkema cultive l’interaction avec ses parties prenantes et innove autour de 6
plateformes de recherche orientées solutions, qui articulent la R&D du Groupe
avec les grandes tendances du monde d’aujourd’hui et de demain.";"Depuis 10 ans, Arkema écrit une histoire industrielle intense, où les
hommes et les femmes jouent le rôle principal, chacun dans leur
métier. Le Groupe s’appuie partout dans le monde sur des équipes
dotées d’un haut niveau de technicité, de professionnalisme et de
performance.
Arkema fait le pari de valoriser ses talents, nous avons besoin de
vous pour nourrir cette énergie collective. Venez rejoindre une
équipe où vous aurez un impact !"
artelia;ARTELIA;Divers ;"La Plaine Saint Denis";France;http://www.arteliagroup.com;;500 M;4900;;;"Le groupe ARTELIA accompagne depuis 2010 ses clients dans les grands
projets de construction et d’aménagement urbain.
Leader indépendant de l’ingénierie et du management de projet (capital
détenu par ses salariés) et fort de ses 4900 collaborateurs à travers 36 pays,
ARTELIA s’efforce chaque jour de répondre aux attentes d’un monde qui
change.
Présent dans les secteurs du bâtiment, de l’industrie, de l’hydraulique, de
l’environnement, de l’aménagement urbain et des infrastructures de transport,
ARTELIA propose une diversité de métiers et de missions qui permet à chacun
et à chacune de trouver sa place et de s’épanouir professionnellement.";"Au-delà des compétences techniques qui forment un socle
indispensable à la réalisation de nos missions, nous recherchons
des personnalités, des hommes et des femmes qui participeront
activement au développement du groupe, de par leur créativité,
leur sens de l’innovation et de l’initiative, ainsi que leur esprit
d’équipe."
assystem;ASSYSTEM;Audit & Conseil;;;;;;;;;;
astek;GROUPE ASTEK;Divers ;Boulogne-Billancourt;France;"http://www.astekgroup.fr";;170 M;2800;;;"Groupe français indépendant de Conseil en Technologies, Astek accompagne,
en France et à l’international, les grands comptes industriels, télécoms
et tertiaires dans leur stratégie d’Innovation, de R&D et de transformation
digitale.
Le Groupe fédère 2 800 collaborateurs, dont 90% d’ingénieurs de haut
niveau, sur des projets à forte valeur ajoutée autour des 4 métiers d’Astek :
Transformation Digitale, Télécoms & Infrastructures, Systèmes Intelligents et
Ingénierie Produit & Process Industriels.
Astek adresse les secteurs Aéronautique-Défense-Spatial, Télécom&média,
Transport&Tourisme, Santé, Transport terrestre, Banque-Finance-Assurance,
Energie&Environnement, Distribution, Secteur public.
Astek est présent à l’international et en France : Lyon, Grenoble, Valence,
Toulouse, Bordeaux, Rennes, Nantes, Orléans, Rouen, Lille, Ile-de-France,
Strasbourg, Aix-Marseille, Montpellier et Sophia.
Pour en savoir plus : www.astekgroup.fr";"Pourquoi venir faire votre stage avec nous ?
Une expertise technique
Chez Astek, notre « ADN » est fortement ancré dans l’innovation.
Lors de votre stage, vous serez amené à approfondir vos
connaissances techniques, être force de proposition, réaliser des
POC sur des sujets innovants autour notamment de l’IoT, de la
blockchain, du Big Data... Et pourquoi pas lancer une start-up !
Ce sera ainsi pour vous une expérience qui vous permettra de
marier une forte autonomie et un grand esprit d’initiative avec la

mise en oeuvre d’un suivi documenté et rigoureux de vos travaux.
Le management & l’intrapreneuriat pour ceux qui ont
« la gagne ! »
Au sein du Groupe, les ingénieurs peuvent aussi choisir des stages
orientés « business ». Le métier de Business Developer combine
plusieurs aspects comme le développement commercial, le
recrutement et le management, tout en permettant de continuer
à côtoyer la technique. Être Business Developer, c’est partir
from scratch : il faut construire son propre périmètre, être très
polyvalent et persévérant pour démarcher des clients, comprendre
leurs besoins. Il faut aussi faire preuve de ténacité pour trouver les
meilleurs consultants, les accompagner, leur proposer les bonnes
solutions...
Vous avez envie d’en savoir plus ?
Alors, venez découvrir notre book de Stages 2018 et ses 32
stages à travers la France (Ile-de-France, Grenoble, Lyon, Sophia,
Toulouse). Tout simplement, venez nous rencontrer...
Toutes nos offres de stage sont consultables sur notre site www.
astekjob.fr. Pour postuler : envoyez un mail avec votre CV et"
attijari;Attijari (maroc);Banque & Finance;Casablanca;Maroc;http://Recrutement.attijariwafa.com;Recrutement.attijariwafa.com;;19430;;;"Attijariwafa bank est le premier groupe bancaire et fnancier du Maghreb et
un acteur fnancier de référence en Afrique. En plus de l’activité bancaire, le
Groupe opère, à travers des fliales spécialisées, dans tous les métiers fnanciers :
assurance, crédit immobilier, crédit à la consommation, leasing, gestion
d’actifs, intermédiation boursière, conseil, location longue durée, factoring…
Attijariwafa bank est basée au Maroc et opère dans 26 pays. Avec 19 430
collaborateurs en 2017, le Groupe compte 8,8 millions de clients. Il dispose
du réseau de distribution le plus large au Maroc et le plus dense en Afrique
avec 4090 agences.";
auchan;AUCHAN FRANCE;Industrie & Agroalimentaire;;;;;;;;;;
ausy;AUSY;Audit & Conseil;Sèvres;France;http://www.ausy.com;;460,5 M;5000;;;"AUSY est un groupe international de Conseil et d’Ingénierie en Hautes
Technologies dont le business model est fondé sur une forte culture
de l’innovation associée à une complémentarité métier entre systèmes
d’information et systèmes industriels complexes.
En 2016, AUSY a réalisé un chiffre d’affaires de 460,5 M d’euros et emploie
plus de 5 000 collaborateurs sur plus de cinquante sites, en Europe, aux
Etats-Unis et en Asie. AUSY se positionne en tant que partenaire de référence
dans le pilotage de projets d’envergure et l’accompagnement des grandes
entreprises à l’international. L’offre de services du Groupe est complète. Elle
allie conseil et expertise, réalisation d’applications et de systèmes jusqu’à
l’externalisation d’activités in-situ et ex-situ.
Grâce à sa culture de l’innovation et de la performance, AUSY garantir à ses
ingénieurs des projets à forte valeur ajoutée et des opportunités de carrières
ambitieuses.";"Vous êtes passionné(e), curieux(se) et faites preuve d’initiative,
vous savez vous adapter rapidement à des environnements
techniques de haut niveau. Vous appréciez les challenges
techniques.
Venez développer vos compétences avec nos experts techniques !
AUSY par ses multiples implantations en France, ses 9 secteurs
d’activités et ses projets diversifés aura forcément une opportunité
pour vous.
Venez nous rencontrer !"
axon;AXON CABLE;Informatique & Télécommunication;Moontmirail;France;http://www.axon-cable.com;;140 M;2000;;;"Des fls plus fns qu’un cheveu, des câbles résistants au feu, des liaisons
supportant des accélérations mille fois plus fortes que celles des “montagnes
russes”... Un câble Axon’, ce n’est pas banal !
Depuis plus de 50 ans les opérateurs, techniciens et ingénieurs d’Axon’ Câble
développent et fabriquent ces liaisons innovantes composées de conducteurs
métalliques de précision, d’isolants en matière plastique haut de gamme et
connecteurs micromécaniques.
Des sociétés comme Airbus, Schneider, Thales et Valeo nous font confance.
Ainsi nos produits équipent la fusée Ariane, des voitures de Formule 1, les
casques des pilotes de chasse, et même le robot Curiosity envoyé sur Mars !
Une entreprise locale et mondiale
Installée dans la Marne, l’entreprise voit plus loin : plus de 2000 salariés
travaillent aujourd’hui pour le groupe Axon’ en Europe, Amérique et Asie. Les
deux tiers des ventes - sont réalisés à l’exportation.";"Rejoindre Axon’ c’est la promesse d’évoluer dans un monde
d’ingénieurs stimulant et de participer aux projets technologiques
les plus passionnants. Axon’ Cable donne sa chance aux jeunes
chercheurs d’emploi et les profls internationaux sont très
appréciés.
Les qualités que nous recherchons : curiosité, polyvalence,
communication, et esprit d’équipe !
De plus, Axon’ Câble vous propose un logement lors de votre
embauche dans la limite des disponibilités."
bee;BEE ENGINEERING;Divers ;Lyon;France;http://www.bee-eng.com;;33.9 M;560;;;"Bee Engineering, est un essaim bourdonnant né en 2010, spécialisé dans
l’industrie de l’énergie et des procédés, les infrastructures et l’industrie des
transports.
La société connait depuis sa création une forte croissance avec un chiffre
d’affaires de 35Me pour l’année 2017.
Nous sommes maintenant plus de 500 abeilles ambitieuses implantées dans
6 grandes villes : Paris, Lyon, Nantes/Saint Nazaire, Toulouse, Bruxelles et
Lisbonne.
Nous continuons de nous développer dans le but de toujours être plus réactif
et au plus proche de nos partenaires et de nos équipes :
- avec nos partenaires, en leur proposant rapidement des profils et des
compétences adaptées, nécessaires au bon déroulement de la réalisation de
leurs projets.
- avec nos consultants, en les intégrant dans des équipes à taille humaine et
en leur assurant un réel suivi durant toute leur carrière chez Bee Engineering.
Nos abeilles interviennent de 3 façons auprès de nos partenaires industriels :
• Expertise métiers : apport de compétences
• Assistance Technique : renfort de compétences
• Externalisation : mise en place de plateaux projets";"TO BEE OR NOT TO BEE...
Être salarié(e) BEE c’est pouvoir s’adapter rapidement aux
environnements techniques et aux nouvelles équipes.
C’est avoir envie de découvrir différents secteurs, différents
métiers mais aussi de savoir être curieux pour pouvoir évoluer
rapidement... et être capable de le faire !
Pourquoi c’est mieux chez nous qu’ailleurs ?
On pourrait vous dire pleins de choses... qu’on est à l’écoute,
qu’on est humain, juste et fun, que 97% de nos consultants sont
satisfaits... on pourrait ! Le mieux, renseignez-vous !
LE PETIT +
Il n’est pas obligatoire d’être fun pour travailler ici mais ça aide
énormément ! So... BEE yourself !
BEE Engineering, entreprise handi-engagée. Tous nos postes sont
accessibles aux personnes en situation de handicap, quelle qu’en
soit la nature."
beijaflore;BEIJAFLORE;Informatique & Télécommunication;Paris;France;http://www.beija?ore.com;;80 M;1000;;;"Beija?ore est un cabinet de conseil en management créé en 2000 qui
regroupe aujourd’hui plus de 1000 collaborateurs à Paris, Bruxelles, Sao
Paulo et New York et dont la mission consiste à accompagner les entreprises
dans leurs projets de transformation digitale.
Pour mener à bien cette mission, le Groupe s’appuie sur 3 marques qui
adressent des métiers et des niveaux d’interlocuteurs différents :
• Beija?ore adresse les directions métiers, opérationnelles et SI de nos clients
grands comptes dans tous les domaines du secteur privé : banque, services
fnanciers, assurance, industries, services, télécommunications, médias et
aéronautique/défense.
• Headlink adresse les directions générales de nos clients dans le domaine de
la banque, de services fnanciers et de l’assurance.
• Ykems adresse les directions générales et les directions de la stratégie de
nos clients dans le domaine de l’industrie.";"Nous vivons aujourd’hui une révolution digitale qui transforme
notre vision du monde et nos habitudes de travail. Pour les
entreprises, cela implique des bouleversements profonds.
Beija?ore est un cabinet de conseil en management créé en 2000
qui regroupe aujourd’hui plus de 1000 collaborateurs à Paris,
Bruxelles, Sao Paulo et New York et dont la mission consiste à
accompagner ces entreprises dans leurs projets de transformation
digitale.
Vous souhaitez conseiller les grands groupes dans leur gestion des
risques Cyber ? Les accompagner dans la mise en œuvre d’outils
technologiques et de méthodologies innovantes (Cloud, IoT…) ?
Mettre en place des solutions business leur permettant d’optimiser
leur performance et leur rentabilité ?
Rejoignez notre communauté et soyez acteurs du monde de
demain !"
bertrandt;BERTRANDT;Divers ;"Vélizy-Villacoublay";France;http://www.bertrandt.com;paris@fr.bertrandt.com;60 M;1010;;;"Grâce à son expérience de plus de 40 ans et son savoir-faire technique,
Bertrandt est un acteur majeur de l’ingénierie automobile et aéronautique. Avec
54 sites implantés en Europe, aux Etats-Unis et en Asie, le Groupe Bertrandt
compte aujourd’hui plus de 13000 collaborateurs qui accompagnent nos
clients dans leurs projets de développement, du design à l’industrialisation.
Activités
Depuis sa création Bertrandt est synonyme d’expertise en recherche et
développement et propose des solutions innovantes pour les industries
automobiles et aéronautiques. Nos prestations s’appuient sur un savoir-faire
de longue date et d’excellentes compétences interdisciplinaires tirées des
industries de mobilité:
• Electronique,
• Moteur (mise au point, développement, essais, conception)
• Châssis, liaison au sol
• Carrosserie et équipements extérieurs et intérieurs,
• Management de la qualité et de projet,
• Simulation numérique,
• Industrialisation";"Venez à notre rencontre ! Nous avons beaucoup de points
communs : passion pour l’innovation, culture de la bienveillance,
réaliser un travail avec de l’audace dans un environnement de
confiance, d’écoute et de respect."
biomerieux;BioMérieux;Biomédical & Pharmaceutique;Marcy l'Etoile;France;http://Biomerieux.com;camille.sinan@biomerieux.com;2,3 Md;10000;;;"L’innovation scientifque et technologique est au cœur de la stratégie de
bioMérieux. Acteur mondial dans le domaine du diagnostic in vitro depuis 50
ans, bioMérieux conçoit, développe, produit et commercialise des solutions
de diagnostic (réactifs, instruments et logiciels) destinées à des applications
médicales et industrielles, qui déterminent l’origine d’une maladie ou d’une
contamination pour améliorer la santé des patients et assurer la sécurité des
consommateurs.
Fidèle à sa mission d’améliorer la santé publique dans le monde, bioMérieux
est présente dans plus de 150 pays au travers de 41 fliales. Son siège social
se situe dans la région de Lyon, en France.";"Nous accordons une grande importance à l’environnement de
travail de nos collaborateurs afn de favoriser leur développement
professionnel, tout en respectant l’équilibre entre vie
professionnelle et vie privée.
Rejoignez les 10 000 collaborateurs de bioMérieux qui partagent
ces valeurs."
bnp;BNP PARIBAS;Banque & Finance;Paris;France;http://Bnpparibas.com;;43,4 Md;192000;;;"BNP Paribas est leader des services bancaires et fnanciers en Europe avec
ses quatre marchés domestiques : Belgique, Luxembourg, Italie et France.
Le Groupe compte près de 192 000 collaborateurs dans 74 pays du monde,
dont 146 520 collaborateurs en Europe et 57 800 collaborateurs en France.";"Effectuer un stage ou un VIE chez BNP Paribas peut constituer
une première porte d’entrée au sein du Groupe. En effet, l’équipe
Ressources Humaines suit de près l’évolution des stagiaires et des
VIE et s’attache à repérer les talents. Les possibilités d’évolution
sont multiples et adaptées en fonction de votre cursus. Venez donc
nous rejoindre et devenez acteur d’un monde qui change !"
bobst;BOBST LYON;Industrie & Agroalimentaire;;;;;;;;;;
